chr	start	end	strand	manual_assessment	previously_annotated	recount3_score	intropolis_score	repeat_overlap	antisense_overlap	intron_length	prediction_recount3	prediction_intropolis
2	28709500	28736042	-1	Yes	no	0	0	No_overlap	no	26543	REJECTED	REJECTED
9	824689	826529	-1	Yes	no	0	0	No_overlap	no	1841	REJECTED	REJECTED
7	5847591	5848561	-1	No	no	0	0	Type_I_Transposons/SINE	yes	971	REJECTED	REJECTED
4	37001896	37109279	1	Yes	no	0	3	LTRs	no	107384	REJECTED	ACCEPTED
2	236593224	236594644	1	Yes	no	0	0	Type_I_Transposons/SINE	no	1421	REJECTED	REJECTED
8	129241859	129242290	1	Yes	no	0	0	No_overlap	no	432	REJECTED	REJECTED
16	33302060	33304677	-1	Yes	no	0	0	Type_I_Transposons/LINE	yes	2618	REJECTED	REJECTED
8	23225453	23228061	-1	No	no	0	0	LTRs	yes	2609	REJECTED	REJECTED
5	73302741	73303565	-1	No	no	0	0	Type_I_Transposons/SINE	no	825	REJECTED	REJECTED
X	69081597	69084100	-1	Yes	no	0	0	No_overlap	no	2504	REJECTED	REJECTED
11	119334622	119334706	-1	Yes	no	1	0	No_overlap	yes	85	REJECTED	REJECTED
14	19066348	19100476	1	No	no	1	0	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	34129	REJECTED	REJECTED
4	779206	780453	1	Yes	no	1	0	Type_I_Transposons/SINE	yes	1248	REJECTED	REJECTED
7	133035784	133035841	1	No	no	1	0	No_overlap	yes	58	REJECTED	REJECTED
22	22900513	22900975	1	Yes	no	1	0	No_overlap	no	463	REJECTED	REJECTED
22	50755079	50755350	-1	Yes	no	1	0	No_overlap	no	272	ACCEPTED	REJECTED
3	181953738	182001117	1	Yes	no	1	0	No_overlap	no	47380	REJECTED	REJECTED
17	20531778	20532272	-1	Yes	no	1	0	Type_I_Transposons/SINE	no	495	REJECTED	REJECTED
14	105634533	105648412	1	Yes	no	1	232	No_overlap	yes	13880	REJECTED	REJECTED
2	57295295	57298049	-1	No	no	1	0	Type_I_Transposons/SINE	no	2755	REJECTED	REJECTED
18	6462550	6462673	1	No	no	2	0	No_overlap	yes	124	REJECTED	REJECTED
5	91304134	91314079	-1	Yes	no	2	0	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	9946	REJECTED	REJECTED
6	31835088	31837235	1	No	no	2	0	No_overlap	no	2148	ACCEPTED	REJECTED
12	126729967	126732342	-1	No	no	2	0	Type_I_Transposons/LINE	no	2376	ACCEPTED	REJECTED
15	82372390	82372579	-1	No	no	2	0	No_overlap	no	190	ACCEPTED	REJECTED
7	5425975	5426509	-1	No	no	2	0	No_overlap	yes	535	REJECTED	REJECTED
16	29086636	29087333	1	Yes	no	2	0	No_overlap	no	698	ACCEPTED	REJECTED
11	65499814	65502619	-1	Yes	no	2	0	Type_I_Transposons/LINE	yes	2806	REJECTED	REJECTED
3	195685966	195688532	1	No	no	2	0	No_overlap	no	2567	ACCEPTED	REJECTED
2	65899310	65921937	1	No	no	2	0	No_overlap	no	22628	ACCEPTED	REJECTED
14	22450144	22462931	1	Yes	no	3	0	No_overlap	yes	12788	REJECTED	REJECTED
X	3824387	3826370	-1	Yes	no	3	0	Type_I_Transposons/SINE	no	1984	REJECTED	REJECTED
18	6462502	6462940	-1	No	no	3	0	No_overlap	no	439	ACCEPTED	REJECTED
3	195699278	195699357	1	No	no	3	0	Tandem_repeats	no	80	REJECTED	REJECTED
2	88861577	89027184	-1	No	no	3	0	No_overlap	no	165608	ACCEPTED	REJECTED
17	76552090	76557167	-1	Yes	no	3	0	No_overlap	no	5078	ACCEPTED	REJECTED
4	119507034	119512350	1	Yes	no	3	0	No_overlap	no	5317	ACCEPTED	REJECTED
1	168907971	169056183	-1	Yes	yes	3	0	Type_I_Transposons/SINE	no	148213	REJECTED	REJECTED
7	73009898	73011059	1	Yes	no	3	0	Type_I_Transposons/SINE,Tandem_repeats	no	1162	REJECTED	REJECTED
2	131500582	131500926	1	No	no	3	0	No_overlap	no	345	ACCEPTED	REJECTED
2	88861937	89213438	-1	No	no	4	0	No_overlap	no	351502	ACCEPTED	REJECTED
22	15788866	15827357	1	Yes	no	4	0	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	38492	REJECTED	REJECTED
15	82372503	82372641	-1	No	no	4	0	No_overlap	no	139	ACCEPTED	REJECTED
8	56320607	56434597	1	Yes	no	4	7	No_overlap	yes	113991	REJECTED	REJECTED
7	90122795	90124073	1	No	no	4	0	No_overlap	yes	1279	REJECTED	REJECTED
3	42632696	42635231	-1	No	no	4	0	No_overlap	yes	2536	REJECTED	REJECTED
17	16441544	16441618	1	No	no	4	0	Type_I_Transposons/SINE	yes	75	REJECTED	REJECTED
16	88090184	88098964	1	Yes	no	4	0	No_overlap	yes	8781	REJECTED	REJECTED
2	88861557	88915093	-1	No	no	4	0	No_overlap	no	53537	ACCEPTED	REJECTED
16	33315238	33316281	-1	Yes	no	4	0	Satellite_repeats	no	1044	ACCEPTED	REJECTED
2	88861946	89142596	-1	No	no	5	0	No_overlap	no	280651	ACCEPTED	REJECTED
21	5124876	5125882	-1	Yes	no	5	0	No_overlap	no	1007	REJECTED	REJECTED
2	88857684	89221691	-1	No	no	5	0	No_overlap	no	364008	ACCEPTED	REJECTED
2	190626824	190628064	-1	No	no	5	0	No_overlap	no	1241	ACCEPTED	REJECTED
20	45078240	45079182	-1	No	no	5	39	Type_I_Transposons/SINE	yes	943	REJECTED	REJECTED
12	6538005	6538184	-1	No	no	5	2	No_overlap	yes	180	REJECTED	REJECTED
19	12643281	12643668	1	No	no	5	0	No_overlap	yes	388	REJECTED	REJECTED
22	22823259	22899613	-1	No	no	5	0	No_overlap	yes	76355	REJECTED	REJECTED
2	118185391	118186350	-1	No	no	5	0	No_overlap	no	960	ACCEPTED	REJECTED
3	197612776	197613210	-1	No	no	5	0	Type_I_Transposons/SINE	no	435	REJECTED	REJECTED
1	209663062	209766071	-1	Yes	no	6	0	No_overlap	no	103010	ACCEPTED	REJECTED
X	115886963	115906753	-1	Yes	yes	6	405	No_overlap	no	19791	ACCEPTED	ACCEPTED
2	104202489	104268692	-1	Yes	no	6	0	No_overlap	no	66204	ACCEPTED	REJECTED
12	104265606	104265674	-1	No	no	6	0	No_overlap	yes	69	REJECTED	REJECTED
2	65754784	65899191	1	Yes	yes	6	10	No_overlap	no	144408	ACCEPTED	ACCEPTED
3	120097977	120098391	1	No	no	6	0	Type_I_Transposons/SINE	no	415	REJECTED	REJECTED
3	160741124	160754589	-1	No	no	6	0	No_overlap	no	13466	ACCEPTED	REJECTED
